Source: ACS 5-Year Estimates Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: New England Division, Middle Atlantic Division, East North Central Division, West North Central Division, South Atlantic Division, West South Central Division, East South Central Division, Mountain Division, Pacific Division"
"Educational attainment (SCHL)","Total person's income (signed, use ADJINC to adjust to constant dollars)"
"Kindergarten","-19398"
"Grade 1","-19041"
"Grade 2","-18228"
"Grade 3","-16324"
"Grade 4","-17476"
"Grade 5","-16090"
"Grade 6","-6345"
"Grade 7","-14414"
"Grade 8","-3266"
"Grade 9","7012"
"Grade 10","9269"
"Grade 11","11165"
"12th grade - no diploma","21641"
"Regular high school diploma","27309"
"GED or alternative credential","26310"
"Some college, but less than 1 year","31310"
"1 or more years of college credit, no degree","32811"
"Associate's degree","38452"
"Bachelor's degree","57067"
"Master's degree","72031"
"Professional degree beyond a bachelor's degree","126045"
"Doctorate degree","99185"
" -> Pacific Division",""
"N/A (less than 3 years old)","-19999"
"No schooling completed","-5474"
"Nursery school, preschool","-19455"
"Kindergarten","-19259"
"Grade 1","-17821"
"Grade 2","-15654"
"Grade 3","-11732"
"Grade 4","-14272"
"Grade 5","-12690"
"Grade 6","1377"
"Grade 7","-12443"
"Grade 8","-2603"
"Grade 9","7774"
"Grade 10","8938"
"Grade 11","10684"
"12th grade - no diploma","21743"
"Regular high school diploma","27676"
"GED or alternative credential","28240"
"Some college, but less than 1 year","33676"
"1 or more years of college credit, no degree","34825"
"Associate's degree","42601"
"Bachelor's degree","67098"
"Master's degree","89105"
"Professional degree beyond a bachelor's degree","134111"
"Doctorate degree","118032"
